Config_ID,Filltype,DataAug,CatDealer,AttitudesUsed,Accuracy,Precision,F1_Score,Confusion_Matrix
1,0,True,0,True,0.8734939759036144,0.9292035398230089,0.9090909090909091,"[[40, 8], [13, 105]]"
2,0,True,0,False,0.8433734939759037,0.8709677419354839,0.8925619834710744,"[[32, 16], [10, 108]]"
3,0,True,1,True,0.8433734939759037,0.8709677419354839,0.8925619834710744,"[[32, 16], [10, 108]]"
4,0,True,1,False,0.8734939759036144,0.8818897637795275,0.9142857142857143,"[[33, 15], [6, 112]]"
5,0,False,0,True,0.8975903614457831,0.9316239316239316,0.9276595744680851,"[[40, 8], [9, 109]]"
6,0,False,0,False,0.8855421686746988,0.896,0.9218106995884774,"[[35, 13], [6, 112]]"
7,0,False,1,True,0.8855421686746988,0.9090909090909091,0.9205020920502092,"[[37, 11], [8, 110]]"
8,0,False,1,False,0.8674698795180723,0.9,0.907563025210084,"[[36, 12], [10, 108]]"
9,1,True,0,True,0.8975903614457831,0.9105691056910569,0.9294605809128631,"[[37, 11], [6, 112]]"
10,1,True,0,False,0.8855421686746988,0.896,0.9218106995884774,"[[35, 13], [6, 112]]"
11,1,True,1,True,0.891566265060241,0.9098360655737705,0.925,"[[37, 11], [7, 111]]"
12,1,True,1,False,0.891566265060241,0.923728813559322,0.923728813559322,"[[39, 9], [9, 109]]"
13,1,False,0,True,0.891566265060241,0.9166666666666666,0.9243697478991597,"[[38, 10], [8, 110]]"
14,1,False,0,False,0.9096385542168675,0.9186991869918699,0.9377593360995851,"[[38, 10], [5, 113]]"
15,1,False,1,True,0.9156626506024096,0.9262295081967213,0.9416666666666667,"[[39, 9], [5, 113]]"
16,1,False,1,False,0.891566265060241,0.9032258064516129,0.9256198347107438,"[[36, 12], [6, 112]]"
17,2,True,0,True,0.9337349397590361,0.9421487603305785,0.9539748953974896,"[[41, 7], [4, 114]]"
18,2,True,0,False,0.8855421686746988,0.9024390243902439,0.921161825726141,"[[36, 12], [7, 111]]"
19,2,True,1,True,0.9216867469879518,0.9338842975206612,0.9456066945606695,"[[40, 8], [5, 113]]"
20,2,True,1,False,0.8795180722891566,0.8951612903225806,0.9173553719008265,"[[35, 13], [7, 111]]"
21,2,False,0,True,0.9156626506024096,0.9262295081967213,0.9416666666666667,"[[39, 9], [5, 113]]"
22,2,False,0,False,0.9096385542168675,0.9256198347107438,0.9372384937238494,"[[39, 9], [6, 112]]"
23,2,False,1,True,0.8975903614457831,0.9173553719008265,0.9288702928870293,"[[38, 10], [7, 111]]"
24,2,False,1,False,0.8975903614457831,0.9173553719008265,0.9288702928870293,"[[38, 10], [7, 111]]"
25,3,True,0,True,0.8795180722891566,0.8888888888888888,0.9180327868852459,"[[34, 14], [6, 112]]"
26,3,True,0,False,0.9036144578313253,0.9180327868852459,0.9333333333333333,"[[38, 10], [6, 112]]"
27,3,True,1,True,0.9096385542168675,0.9186991869918699,0.9377593360995851,"[[38, 10], [5, 113]]"
28,3,True,1,False,0.8795180722891566,0.9016393442622951,0.9166666666666666,"[[36, 12], [8, 110]]"
29,3,False,0,True,0.891566265060241,0.9032258064516129,0.9256198347107438,"[[36, 12], [6, 112]]"
30,3,False,0,False,0.9096385542168675,0.912,0.9382716049382716,"[[37, 11], [4, 114]]"
31,3,False,1,True,0.8855421686746988,0.9090909090909091,0.9205020920502092,"[[37, 11], [8, 110]]"
32,3,False,1,False,0.8795180722891566,0.9016393442622951,0.9166666666666666,"[[36, 12], [8, 110]]"
33,4,True,0,True,0.9036144578313253,0.9112903225806451,0.9338842975206612,"[[37, 11], [5, 113]]"
34,4,True,0,False,0.8975903614457831,0.9105691056910569,0.9294605809128631,"[[37, 11], [6, 112]]"
35,4,True,1,True,0.8855421686746988,0.9090909090909091,0.9205020920502092,"[[37, 11], [8, 110]]"
36,4,True,1,False,0.8614457831325302,0.8925619834710744,0.9037656903765691,"[[35, 13], [10, 108]]"
37,4,False,0,True,0.9036144578313253,0.9396551724137931,0.9316239316239316,"[[41, 7], [9, 109]]"
38,4,False,0,False,0.8855421686746988,0.889763779527559,0.9224489795918367,"[[34, 14], [5, 113]]"
39,4,False,1,True,0.8975903614457831,0.9391304347826087,0.927038626609442,"[[41, 7], [10, 108]]"
40,4,False,1,False,0.8855421686746988,0.9090909090909091,0.9205020920502092,"[[37, 11], [8, 110]]"
